,Type I,Type II,Type III,Type IV,Type V,Type VI
660 nm,0.2444552986626522,0.2394804908564057,0.23170566000555343,0.21797393794220957,0.19299847551434626,0.15837565849687676
880 nm,0.3241832206187421,0.32145229948497495,0.31817074385606253,0.3133324735790908,0.3040189780455495,0.29104987394378945
940 nm,0.34695137451965713,0.34495329965238647,0.3418839561969756,0.3368949809508034,0.32864468776030037,0.31729385527822435
