,Type I,Type II,Type III,Type IV,Type V,Type VI
660 nm,0.2444553424885669,0.2394804692480061,0.23170566382501329,0.21797401342606104,0.19299852692332625,0.15837572518858595
880 nm,0.32418318850632294,0.32145236422728435,0.31817069658152053,0.31333240744414903,0.3040189780455495,0.29104987394378945
940 nm,0.34695137451965713,0.34495326991641223,0.3418839561969756,0.3368950085583347,0.32864463149126755,0.31729385527822435
